,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
منطقه ۱,83,8,704,2982,10,164,73,659,195,100.0,"[{'lat': 36.3164062, 'lon': 59.5859143}, {'lat': 36.3194043, 'lon': 59.5826554}]"
منطقه ۱۱,14,1,1354,2553,5,102,32,524,86,100.0,"[{'lat': 36.3183929, 'lon': 59.5414781}, {'lat': 36.3198422, 'lon': 59.541824}, {'lat': 36.3243976, 'lon': 59.5430324}, {'lat': 36.32597, 'lon': 59.5434495}, {'lat': 36.326077, 'lon': 59.5434779}, {'lat': 36.3261639, 'lon': 59.543501}]"
منطقه ۵,23,0,486,3288,7,50,18,277,30,88.89,"[{'lat': 36.2924812, 'lon': 59.6310097}, {'lat': 36.2918053, 'lon': 59.6309105}, {'lat': 36.2891431, 'lon': 59.630525}]"
منطقه ۶,29,0,328,2431,7,18,6,306,14,88.89,"[{'lat': 36.2513942, 'lon': 59.7047338}, {'lat': 36.2564209, 'lon': 59.712882}, {'lat': 36.2561787, 'lon': 59.7178172}, {'lat': 36.2518874, 'lon': 59.7237396}, {'lat': 36.2446702, 'lon': 59.7212537}]"
منطقه ثامن,22,0,284,796,8,43,13,342,23,88.89,"[{'lat': 36.2924812, 'lon': 59.6310097}, {'lat': 36.2918053, 'lon': 59.6309105}, {'lat': 36.2891431, 'lon': 59.630525}]"
منطقه ۳,61,0,731,5545,10,73,21,786,46,88.89,"[{'lat': 36.3362895, 'lon': 59.6062435}, {'lat': 36.3383941, 'lon': 59.6072375}, {'lat': 36.3401388, 'lon': 59.6080668}, {'lat': 36.3459258, 'lon': 59.6113781}, {'lat': 36.3468997, 'lon': 59.611901}, {'lat': 36.3507774, 'lon': 59.6126945}, {'lat': 36.3590943, 'lon': 59.614411}, {'lat': 36.3648893, 'lon': 59.6225393}]"
منطقه ۸,57,5,766,2149,16,196,63,876,158,100.0,"[{'lat': 36.2979703, 'lon': 59.6059469}, {'lat': 36.2939669, 'lon': 59.6102006}]"
منطقه ۹,204,3,2525,4903,15,152,66,1277,127,100.0,"[{'lat': 36.2859054, 'lon': 59.5563767}, {'lat': 36.2864007, 'lon': 59.5570641}]"
منطقه ۷,120,1,971,4205,20,104,19,915,52,100.0,"[{'lat': 36.2526622, 'lon': 59.5816067}, {'lat': 36.2482274, 'lon': 59.5852411}, {'lat': 36.2459691, 'lon': 59.5853269}]"
منطقه ۱۲,123,4,2070,6013,5,52,15,849,50,100.0,"[{'lat': 36.3562949, 'lon': 59.4732138}, {'lat': 36.3566149, 'lon': 59.4739138}]"
منطقه ۴,23,0,483,2895,8,40,13,267,30,88.89,"[{'lat': 36.3080511, 'lon': 59.6893406}, {'lat': 36.3064869, 'lon': 59.6837147}, {'lat': 36.3061331, 'lon': 59.6824978}, {'lat': 36.3058221, 'lon': 59.6813835}]"
ناحیه۱ منطقه ۱,52,5,565,1766,6,103,59,378,150,100.0,"[{'lat': 36.315082, 'lon': 59.540596}, {'lat': 36.3150536, 'lon': 59.540658}, {'lat': 36.3073821, 'lon': 59.5523129}]"
ناحیه۲ منطقه ۱,23,3,214,1597,2,75,36,320,85,100.0,"[{'lat': 36.2979703, 'lon': 59.6059469}, {'lat': 36.3124625, 'lon': 59.5902776}]"
ناحیه ۲ منطقه ۱۱,6,0,602,1234,4,27,12,263,31,88.89,"[{'lat': 36.3323566, 'lon': 59.4855895}, {'lat': 36.3348678, 'lon': 59.4775772}]"
ناحیه ۱ منطقه ۱۱,5,1,582,951,1,74,9,159,42,100.0,"[{'lat': 36.3183929, 'lon': 59.5414781}, {'lat': 36.3198422, 'lon': 59.541824}, {'lat': 36.3243976, 'lon': 59.5430324}, {'lat': 36.32597, 'lon': 59.5434495}, {'lat': 36.326077, 'lon': 59.5434779}, {'lat': 36.3261639, 'lon': 59.543501}]"
