element_type,osmid,barrier,geometry,addr:city,addr:street,name,nodes,leisure,old_name,name:en,wikidata,int_name,name:ar,tourism,wikipedia,name:fa,created_by,access,opening_hours,alt_name,ways,type
way,23989247,,"POLYGON ((59.6038202 36.3010841, 59.6043499 36.3014883, 59.6048899 36.3012084, 59.6051092 36.3010575, 59.604929 36.3008903, 59.6048293 36.3008963, 59.6045597 36.3007299, 59.6042855 36.3004681, 59.6037725 36.300122, 59.6033065 36.3005544, 59.6038458 36.3010511, 59.6038202 36.3010841))",مشهد,,بوستان توحید,"[2610038222, 2610038226, 2614610689, 260095125, 670899612, 8806169308, 8806169309, 670899610, 4099973008, 2610038218, 2610038220, 2610038222]",park,بوستان هشت آباد,,,,,,,,,,,,,
way,23992600,hedge,"POLYGON ((59.5347021 36.3256891, 59.5351913 36.3258965, 59.5421179 36.3236629, 59.5422466 36.323497, 59.5422724 36.3233656, 59.5412082 36.319446, 59.5403819 36.3162284, 59.5400664 36.3161101, 59.5399837 36.3160741, 59.5397232 36.3159382, 59.537649 36.3165978, 59.5372467 36.3168303, 59.5371286 36.3169935, 59.5356927 36.317446, 59.5338128 36.3180372, 59.5337365 36.3180064, 59.5336897 36.3179261, 59.5335642 36.3178805, 59.5327162 36.3181413, 59.5325993 36.3182827, 59.533572 36.3216195, 59.5344017 36.324472, 59.5347021 36.3256891))",,,بوستان ملت,"[260128080, 260128081, 260128082, 260128083, 260128084, 669970283, 260128089, 669958620, 669958619, 260128091, 260128092, 8691502934, 260128094, 669958617, 260128099, 8691502933, 260128100, 260128101, 260128102, 260128103, 669958666, 260128106, 260128080]",park,,Mellat Park,Q5953099,,,,,,,,,,,
way,24011399,,"POLYGON ((59.5578382 36.2849518, 59.5581358 36.285138, 59.5576039 36.285767, 59.5575487 36.2856486, 59.5574964 36.285552, 59.5573111 36.2852709, 59.557054 36.2848212, 59.5568099 36.2843294, 59.556655 36.283916, 59.5569406 36.2837173, 59.5570356 36.2837966, 59.557133 36.2838222, 59.5572672 36.2838059, 59.5573702 36.2836814, 59.5573445 36.2835499, 59.5570269 36.2822492, 59.5563522 36.2817701, 59.5557066 36.2790651, 59.5557954 36.2785539, 59.5564822 36.2789165, 59.5563483 36.2792056, 59.5563954 36.2794327, 59.5565897 36.2797721, 59.556791 36.2800434, 59.5571262 36.2802045, 59.5573085 36.2803602, 59.5575187 36.2803771, 59.5577967 36.2803645, 59.5582795 36.2804164, 59.5586979 36.2804726, 59.5587408 36.2805937, 59.5590895 36.2806283, 59.5595864 36.2805188, 59.5602053 36.2802478, 59.5604306 36.2802521, 59.5607257 36.2803299, 59.5609513 36.2802244, 59.5610422 36.2800359, 59.5610207 36.2798413, 59.5607471 36.2794607, 59.5603856 36.2791294, 59.5606167 36.2790791, 59.5607378 36.2789549, 59.5607708 36.2787745, 59.56125 36.2792462, 59.5618572 36.2789428, 59.5625502 36.2791314, 59.5628286 36.2792071, 59.5622384 36.2806716, 59.5619488 36.2807278, 59.5618522 36.2807926, 59.5620641 36.2811494, 59.5619341 36.2812026, 59.5622111 36.2816127, 59.5624155 36.2817008, 59.5626944 36.2816316, 59.5628715 36.2818694, 59.5634299 36.2820555, 59.5632534 36.2823703, 59.5640365 36.2826428, 59.5632383 36.2841087, 59.562342 36.2837679, 59.5621939 36.2840204, 59.5604767 36.283331, 59.5603323 36.2835697, 59.5599982 36.2834357, 59.5599295 36.283355, 59.5598338 36.2833157, 59.5597121 36.2833087, 59.5596047 36.2833445, 59.5595546 36.2833792, 59.5594971 36.2834952, 59.559414 36.2835877, 59.5591984 36.2834531, 59.5578382 36.2849518))",,,بوستان کوهسنگی,"[260382738, 1280755968, 1280756136, 1280756048, 1280755963, 1280755866, 260382739, 260382740, 260382743, 260382744, 260382745, 667901753, 260382746, 260382747, 260382748, 260382749, 2632851685, 2640314666, 260382750, 260382751, 5899062763, 260382753, 5899062762, 2640314667, 5899062761, 5899062760, 2640314668, 5899062758, 5899062759, 5899062755, 5899062756, 5899062757, 260382754, 5899062764, 5899062754, 5899062753, 260382755, 5899062751, 5899062752, 5899062765, 260382756, 2435612402, 2435612397, 2435612394, 260382758, 260382759, 8209204384, 260382760, 5899062750, 5899062749, 5899062748, 667901739, 260382761, 260382762, 5899062746, 5899062745, 5899062747, 260382763, 260382764, 266221336, 266221337, 260382765, 260382766, 260382767, 260382768, 260382769, 260382770, 260382771, 260382772, 260382773, 260382774, 260382775, 260382776, 260382777, 260382738]",park,,Kooh Sangi Park,,Kooh Sangi Park,كوهسنكي,attraction,fa:کوهسنگی,,,,,,,
way,24026915,,"POLYGON ((59.5360822 36.2998927, 59.5366659 36.2994223, 59.537241 36.2999826, 59.5377559 36.3004461, 59.5371637 36.3009441, 59.5360822 36.2998927))",,,بوستان فردوس,"[260565976, 260565977, 260565978, 260565979, 260565980, 260565976]",park,,Ferdows Park,,,,,,,,,,,,
way,24033919,,"POLYGON ((59.5440166 36.320218, 59.5450124 36.3200401, 59.5453127 36.3211314, 59.5452067 36.3211505, 59.5444154 36.3212917, 59.544317 36.3213093, 59.5440166 36.320218))",,,پارک امین,"[260654342, 260654343, 260654344, 1067528285, 1067528414, 260654345, 260654342]",park,,,,,,,,,,,,,,
way,24043846,,"POLYGON ((59.5583421 36.3527934, 59.5581257 36.3521833, 59.5584858 36.3516596, 59.5586918 36.351307, 59.5586556 36.3508798, 59.5586972 36.3506553, 59.5588042 36.3504505, 59.5589788 36.3503112, 59.5592243 36.3502345, 59.5597046 36.3502217, 59.5605458 36.3487562, 59.5611232 36.3478921, 59.5614212 36.3479473, 59.5614797 36.3480103, 59.5617989 36.348049, 59.5618246 36.34821, 59.5619046 36.3482068, 59.5619963 36.3482031, 59.5619933 36.3480921, 59.5622582 36.3481295, 59.562318 36.3480945, 59.563034 36.3482211, 59.5636226 36.3483642, 59.564252 36.3485533, 59.5644596 36.3486732, 59.5644965 36.3487291, 59.5644964 36.3488225, 59.5644596 36.3488831, 59.5636528 36.3497447, 59.5635155 36.3496618, 59.5628718 36.3503669, 59.5630263 36.3504775, 59.5627945 36.350671, 59.5622366 36.3507402, 59.5621455 36.350834, 59.5620821 36.3508992, 59.562168 36.3512863, 59.5619534 36.3514591, 59.5618504 36.3513761, 59.5610178 36.3519084, 59.5611037 36.352019, 59.5591725 36.3531043, 59.5587918 36.3532988, 59.5585828 36.3529876, 59.5583421 36.3527934))",مشهد,بولوار توس,پردیس قائم,"[260755057, 260755058, 260755059, 260755060, 260755061, 260755062, 708172590, 260755063, 260755064, 260755065, 260755066, 260755067, 260755068, 260755069, 260755070, 260755071, 584116809, 260755072, 260755073, 260755074, 260755075, 708168822, 708168569, 260755076, 260755077, 260755078, 708168760, 260755079, 260755080, 260755081, 260755082, 260755083, 260755084, 260755085, 708168665, 260755086, 260755087, 260755088, 260755089, 260755090, 260755091, 260755092, 260755093, 708168504, 260755057]",park,,Gha'em Paradise Park,Q26954602,,,,,پارک پردیس قائم,,,,,,
way,24044482,,"POLYGON ((59.61536 36.3299123, 59.6154373 36.3298718, 59.6157854 36.3297395, 59.6158077 36.3297305, 59.6160393 36.3301006, 59.6158081 36.3301945, 59.6155916 36.3302824, 59.6154782 36.3301013, 59.61536 36.3299123))",,,بوستان نسترن,"[260759413, 724343963, 724343970, 260759414, 260759415, 724343917, 260759416, 724343985, 260759413]",park,,Nastaran Park,,,,,,,,,,,,
way,24252071,,"POLYGON ((59.6123918 36.3115549, 59.6126746 36.3114178, 59.6129296 36.3112942, 59.6130604 36.3114695, 59.6131955 36.3116505, 59.6129392 36.3117747, 59.6126838 36.3118985, 59.6126577 36.3119112, 59.6123918 36.3115549))",,,بوستان پامچال,"[262570459, 724435856, 262570460, 724435829, 262570461, 724435873, 724435875, 262570462, 262570459]",park,,,,,,,,,,,,,,
way,24252073,,"POLYGON ((59.6091411 36.3147133, 59.609379 36.3152828, 59.60909 36.3153851, 59.6091094 36.3154859, 59.6084502 36.3157046, 59.6080783 36.3150996, 59.6091411 36.3147133))",,,,"[262570466, 262570467, 262570468, 262570469, 262570470, 262570471, 262570466]",park,,,,,,,,,,,,,,
way,24252093,,"POLYGON ((59.5543409 36.3119362, 59.5548644 36.3115582, 59.5552646 36.3119427, 59.5552789 36.3121917, 59.5543656 36.3122252, 59.5543409 36.3119362))",,,بوستان کمال الدین بهزاد,"[262570763, 262570764, 262570765, 262570766, 262570767, 262570763]",park,,Behzad Park,,,,,,,,,,,,
