zone,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage
?? ? ???,2,0,71,214,0,11,4,38,7,77.78
????????,12,0,67,264,6,4,4,155,6,88.89
?????,0,2,10,124,0,4,2,13,2,77.78
???????,2,1,272,381,1,43,3,95,19,100
???????? ??? ?????,7,0,35,10,0,1,0,5,0,55.56
??? ???? ????? ??,7,0,40,132,0,7,1,24,6,77.78
??? ???? ??????,0,0,30,365,1,7,5,121,6,77.78
?????,1,0,16,240,0,3,0,3,1,66.67
???? ????,12,0,119,497,1,55,34,139,73,88.89
???? ????????,1,1,128,218,0,3,0,30,2,77.78
?????,5,3,118,210,1,15,1,29,5,100
?????,1,0,15,216,0,0,1,5,1,66.67
????? ?????,5,1,142,336,0,6,3,44,6,88.89
?????,1,0,42,173,1,8,2,42,4,88.89
?????,6,0,346,839,0,6,0,85,4,66.67
???? ??? (?),0,0,11,164,0,26,4,31,5,66.67
??????,2,2,166,337,1,9,3,56,3,100
???? ????,8,0,14,82,1,2,0,43,1,77.78
???? ????????,13,0,54,456,1,1,0,23,2,77.78
????,12,0,52,349,0,7,0,26,6,66.67
??????,5,1,297,756,2,12,0,101,4,88.89
?????,1,0,58,127,0,0,1,11,0,55.56
??????,2,0,147,286,2,0,0,42,2,66.67
????????,10,0,10,123,1,1,0,20,0,66.67
?????,2,0,41,174,0,16,0,34,7,66.67
?????????,7,2,337,1293,3,11,2,158,2,100
?????,0,0,27,75,0,3,0,17,0,44.44
?????,8,0,77,113,0,0,0,24,1,55.56
???? ??????,4,0,47,139,2,5,2,105,1,88.89
????,0,0,51,83,1,0,0,4,1,55.56
??????,9,0,55,122,0,0,0,8,0,44.44
????????,1,0,61,99,4,3,3,93,2,88.89
????,1,0,57,283,0,32,21,89,61,77.78
????,5,0,107,705,2,5,1,109,6,88.89
?????,0,0,58,226,1,1,1,15,5,77.78
??????? ???????? ???? ???,0,0,0,83,1,0,0,79,0,33.33
?????,0,0,63,263,1,7,3,36,3,77.78
???,1,0,0,130,0,0,0,2,0,33.33
????,3,0,19,398,0,1,0,17,1,66.67
??????,22,0,117,385,0,5,2,40,3,77.78
???? ???,23,0,516,863,2,15,2,154,15,88.89
??????,1,0,46,164,1,7,5,24,5,88.89
???,11,3,20,94,3,33,3,88,26,100
????,3,0,84,273,3,2,8,78,4,88.89
????,2,0,165,312,2,8,0,40,2,77.78
???,3,0,20,178,0,3,0,4,0,55.56
??? ???? ????,8,0,139,32,0,2,1,48,2,77.78
????? ?????,0,0,83,67,0,1,0,2,1,55.56
???? ????,0,0,112,425,3,1,1,35,1,77.78
???? ???,9,0,56,311,1,0,0,40,0,55.56
???? ???????,3,1,218,452,1,6,2,46,6,100
??????,0,0,9,195,1,12,1,33,10,77.78
?????,0,0,29,211,4,21,6,55,10,77.78
????? ????,6,0,167,491,4,6,3,82,5,88.89
???????,0,0,33,148,0,3,1,13,4,66.67
????,3,0,5,147,1,7,1,15,4,88.89
??????,2,0,53,164,2,9,5,20,9,88.89
???????,21,0,420,240,0,5,5,349,5,77.78
??????,0,0,5,111,2,1,0,23,1,66.67
?? ??,10,3,46,233,3,47,7,121,34,100
??? ???,1,0,50,331,3,6,4,93,2,88.89
????????,0,0,46,167,0,16,9,28,13,66.67
????,32,0,19,104,1,1,0,49,0,66.67
???,0,0,28,385,1,0,0,10,4,55.56
?????,1,0,60,242,1,2,0,14,4,77.78
??????,16,0,221,377,0,11,6,87,5,77.78
??????,0,0,55,216,0,5,0,15,4,55.56
????,22,0,26,171,0,3,0,13,6,66.67
?????,20,0,168,463,1,7,5,55,5,88.89
???? ???,0,0,25,81,0,0,2,6,0,44.44
???? ???,13,1,244,530,2,26,6,76,17,100
??????,0,0,28,116,0,0,0,6,0,33.33
????,4,0,56,115,1,21,2,77,3,88.89
?????????,25,0,285,673,0,4,1,77,4,77.78
??? ????,11,0,45,574,1,13,11,113,5,88.89
????,1,0,4,109,0,17,1,27,11,77.78
??????,0,0,39,203,0,7,0,26,1,55.56
??????,2,0,20,166,0,14,14,85,8,77.78
??? ???,1,0,42,245,0,18,0,8,6,66.67
??? ????,9,0,100,527,2,2,2,78,0,77.78
????,2,0,100,253,0,4,1,27,6,77.78
????,0,0,120,422,1,6,4,82,11,77.78
???,0,0,26,247,0,2,0,5,0,44.44
??????,2,0,92,421,1,9,1,117,8,88.89
???? ?????,2,0,10,65,0,0,0,27,0,44.44
???? ???? ????,8,0,47,286,2,4,0,125,1,77.78
???? ????????,2,0,127,275,0,0,0,25,1,55.56
???? ????,3,0,70,394,1,2,2,110,5,88.89
???? ???? ?????,2,0,0,137,0,0,0,0,0,22.22
???? ?????,6,0,36,101,0,0,0,23,0,44.44
???? ????,2,0,250,454,0,5,2,56,9,77.78
???? ?????,0,0,0,71,0,0,0,1,0,22.22
???? ??? ????,0,0,68,305,1,3,0,25,0,55.56
???? ??????,8,0,18,172,1,0,1,10,0,66.67
???? ?????,1,0,24,145,1,2,1,12,1,88.89
???? ????? ????,0,0,2,93,0,0,0,2,0,33.33
???? ????,0,0,1,149,0,1,0,8,0,44.44
???? ?????,2,0,43,415,6,24,11,126,24,88.89
???? ????,1,0,44,102,0,1,0,7,1,66.67
