,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,stores,healthcare,acc
آب و برق,2.0,0.0,71.0,214.0,0.0,11.0,4.0,38.0,0.0,7.0,70.0
آبادگران,12.0,0.0,67.0,264.0,6.0,4.0,4.0,155.0,0.0,6.0,80.0
آبکوه,0.0,2.0,10.0,124.0,0.0,4.0,2.0,13.0,0.0,2.0,70.0
آزادشهر,2.0,1.0,272.0,381.0,1.0,43.0,3.0,95.0,0.0,19.0,90.0
آپارتمان های مرتفع,7.0,0.0,35.0,10.0,0.0,1.0,0.0,5.0,0.0,0.0,50.0
آیت الله خامنه ای,7.0,0.0,40.0,132.0,0.0,7.0,1.0,24.0,0.0,6.0,70.0
آیت الله کاشانی,0.0,0.0,30.0,365.0,1.0,7.0,5.0,121.0,0.0,6.0,70.0
ابوذر,1.0,0.0,16.0,240.0,0.0,3.0,0.0,3.0,0.0,1.0,60.0
احمد آباد,12.0,0.0,119.0,497.0,1.0,55.0,34.0,139.0,0.0,73.0,80.0
ادیب نیشابوری,1.0,1.0,128.0,218.0,0.0,3.0,0.0,30.0,0.0,2.0,70.0
ارشاد,5.0,3.0,118.0,210.0,1.0,15.0,1.0,29.0,0.0,5.0,90.0
اروند,1.0,0.0,15.0,216.0,0.0,0.0,1.0,5.0,0.0,1.0,60.0
استاد یوسفی,5.0,1.0,142.0,336.0,0.0,6.0,3.0,44.0,0.0,6.0,80.0
اقبال,1.0,0.0,42.0,173.0,1.0,7.0,2.0,42.0,1.0,4.0,90.0
الهیه,6.0,0.0,346.0,839.0,0.0,6.0,0.0,85.0,0.0,4.0,60.0
امام رضا (ع),0.0,0.0,11.0,164.0,0.0,26.0,4.0,31.0,0.0,5.0,60.0
امامیه,2.0,2.0,166.0,337.0,1.0,9.0,3.0,56.0,0.0,3.0,90.0
امیر آباد,8.0,0.0,14.0,82.0,1.0,2.0,0.0,43.0,0.0,1.0,70.0
امیر المومنین,13.0,0.0,54.0,456.0,1.0,1.0,0.0,23.0,0.0,2.0,70.0
امیر,12.0,0.0,52.0,349.0,0.0,7.0,0.0,26.0,0.0,6.0,60.0
امیریه,5.0,1.0,297.0,756.0,2.0,12.0,0.0,101.0,0.0,4.0,80.0
انصار,1.0,0.0,58.0,127.0,0.0,0.0,1.0,11.0,0.0,0.0,50.0
انقلاب,2.0,0.0,147.0,286.0,2.0,0.0,0.0,42.0,0.0,2.0,60.0
اکبرآباد,10.0,0.0,10.0,123.0,1.0,1.0,0.0,20.0,0.0,0.0,60.0
ایثار,2.0,0.0,41.0,174.0,0.0,16.0,0.0,34.0,0.0,7.0,60.0
