subarea,area,name_subarea,name_area,coordinates_subarea,coordinates_area
https://www.openstreetmap.org/relation/5710706,https://www.openstreetmap.org/relation/5725142,منطقه ۱,شهر مشهد,Point(59.569697237 36.31029441),Point(59.586795798 36.327567524)
https://www.openstreetmap.org/relation/5711010,https://www.openstreetmap.org/relation/5725142,منطقه ۱۱,شهر مشهد,Point(59.512429642 36.335316058),Point(59.586795798 36.327567524)
https://www.openstreetmap.org/relation/5711407,https://www.openstreetmap.org/relation/5725142,منطقه ۵,شهر مشهد,Point(59.665192949 36.287960454),Point(59.586795798 36.327567524)
https://www.openstreetmap.org/relation/5711567,https://www.openstreetmap.org/relation/5725142,منطقه ۶,شهر مشهد,Point(59.664068054 36.265031088),Point(59.586795798 36.327567524)
https://www.openstreetmap.org/relation/5712345,https://www.openstreetmap.org/relation/5725142,منطقه ثامن,شهر مشهد,Point(59.620385996 36.289759079),Point(59.586795798 36.327567524)
https://www.openstreetmap.org/relation/5714586,https://www.openstreetmap.org/relation/5725142,منطقه ۳,شهر مشهد,Point(59.641212124 36.331449419),Point(59.586795798 36.327567524)
https://www.openstreetmap.org/relation/5714602,https://www.openstreetmap.org/relation/5725142,منطقه ۸,شهر مشهد,Point(59.587199173 36.279255503),Point(59.586795798 36.327567524)
https://www.openstreetmap.org/relation/5714616,https://www.openstreetmap.org/relation/5725142,منطقه ۱۰,شهر مشهد,Point(59.513567271 36.362922459),Point(59.586795798 36.327567524)
https://www.openstreetmap.org/relation/5722613,https://www.openstreetmap.org/relation/5725142,منطقه ۹,شهر مشهد,Point(59.505140819 36.309184952),Point(59.586795798 36.327567524)
https://www.openstreetmap.org/relation/5724225,https://www.openstreetmap.org/relation/5725142,منطقه ۷,شهر مشهد,Point(59.623149172 36.245211811),Point(59.586795798 36.327567524)
https://www.openstreetmap.org/relation/5724306,https://www.openstreetmap.org/relation/5725142,منطقه ۱۲,شهر مشهد,Point(59.480229146 36.398770418),Point(59.586795798 36.327567524)
https://www.openstreetmap.org/relation/5725071,https://www.openstreetmap.org/relation/5725142,منطقه ۴,شهر مشهد,Point(59.658833534 36.303002351),Point(59.586795798 36.327567524)
https://www.openstreetmap.org/relation/5725072,https://www.openstreetmap.org/relation/5725142,منطقه ۲,شهر مشهد,Point(59.568671758 36.348815463),Point(59.586795798 36.327567524)
https://www.openstreetmap.org/relation/8863117,https://www.openstreetmap.org/relation/5710706,ناحیه۱ منطقه ۱,منطقه ۱,Point(59.561609475 36.31061317),Point(59.569697237 36.31029441)
https://www.openstreetmap.org/relation/8863118,https://www.openstreetmap.org/relation/5710706,ناحیه۲ منطقه ۱,منطقه ۱,Point(59.58462575 36.305022755),Point(59.569697237 36.31029441)
https://www.openstreetmap.org/relation/9042658,https://www.openstreetmap.org/relation/5711010,ناحیه ۲ منطقه ۱۱,منطقه ۱۱,Point(59.493127572 36.338511057),Point(59.512429642 36.335316058)
https://www.openstreetmap.org/relation/9042659,https://www.openstreetmap.org/relation/5711010,ناحیه ۱ منطقه ۱۱,منطقه ۱۱,Point(59.530203671 36.332729246),Point(59.512429642 36.335316058)
https://www.openstreetmap.org/relation/9042653,https://www.openstreetmap.org/relation/5711407,ناحیه ۲ منطقه ۵,منطقه ۵,Point(59.678867627 36.288751761),Point(59.665192949 36.287960454)
https://www.openstreetmap.org/relation/9042654,https://www.openstreetmap.org/relation/5711407,ناحیه ۱ منطقه ۵,منطقه ۵,Point(59.638690857 36.285391062),Point(59.665192949 36.287960454)
https://www.openstreetmap.org/relation/9042650,https://www.openstreetmap.org/relation/5711567,ناحیه ۳ منطقه ۶,منطقه ۶,Point(59.680967609 36.269818789),Point(59.664068054 36.265031088)
https://www.openstreetmap.org/relation/9042651,https://www.openstreetmap.org/relation/5711567,ناحیه ۲ منطقه ۶,منطقه ۶,Point(59.673262191 36.256363359),Point(59.664068054 36.265031088)
https://www.openstreetmap.org/relation/9042652,https://www.openstreetmap.org/relation/5711567,ناحیه ۱ منطقه ۶,منطقه ۶,Point(59.634474277 36.270376513),Point(59.664068054 36.265031088)
https://www.openstreetmap.org/relation/8834223,https://www.openstreetmap.org/relation/5712345,پایین خیابان,منطقه ثامن,Point(59.621896528 36.288746771),Point(59.620385996 36.289759079)
