,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
منطقه ۱ شهر تهران,220,1,1340,5947,24,596,75,1959,404,100.0,"[{'lat': 35.7773022, 'lon': 51.3751797}, {'lat': 35.8284702, 'lon': 51.5392015}]"
منطقه ۲ شهر تهران,144,11,2531,4651,20,386,104,2547,412,100.0,"[{'lat': 35.6998016, 'lon': 51.331781}, {'lat': 35.8037497, 'lon': 51.393135}]"
منطقه ۳ شهر تهران,105,1,1316,4468,22,752,72,1852,597,100.0,"[{'lat': 35.7402429, 'lon': 51.3860821}, {'lat': 35.7938099, 'lon': 51.4764252}]"
منطقه ۴ شهر تهران,69,5,1432,7598,26,465,155,1928,416,100.0,"[{'lat': 35.723535, 'lon': 51.4468891}, {'lat': 35.790468, 'lon': 51.6063007}]"
منطقه ۵ شهر تهران,129,5,2216,4785,19,248,84,1599,214,100.0,"[{'lat': 35.6966811, 'lon': 51.2620291}, {'lat': 35.8100343, 'lon': 51.3419282}]"
منطقه ۶ شهر تهران,73,5,1113,1835,18,456,85,1482,270,100.0,"[{'lat': 35.7006576, 'lon': 51.377614}, {'lat': 35.7521851, 'lon': 51.4275001}]"
منطقه ۷ شهر تهران,51,1,596,4259,15,288,62,646,141,100.0,"[{'lat': 35.70167, 'lon': 51.4203466}, {'lat': 35.7426959, 'lon': 51.4722863}]"
منطقه ۸ شهر تهران,25,9,512,4164,11,244,77,407,167,100.0,"[{'lat': 35.7090256, 'lon': 51.4588739}, {'lat': 35.7403457, 'lon': 51.5385939}]"
منطقه ۹ شهر تهران,36,2,624,1752,6,75,19,1109,37,100.0,"[{'lat': 35.6664088, 'lon': 51.2786964}, {'lat': 35.7020419, 'lon': 51.3564956}]"
منطقه ۱۰ شهر تهران,33,2,410,2904,6,115,25,1661,82,100.0,"[{'lat': 35.6670146, 'lon': 51.3522072}, {'lat': 35.7006576, 'lon': 51.3815441}]"
منطقه ۱۱ شهر تهران,49,4,641,2076,17,177,23,3054,54,100.0,"[{'lat': 35.6584185, 'lon': 51.3781086}, {'lat': 35.7013858, 'lon': 51.4128702}]"
منطقه ۱۲ شهر تهران,68,0,1176,4650,24,250,42,1487,47,88.89,"[{'lat': 35.6580886, 'lon': 51.4048972}, {'lat': 35.7019892, 'lon': 51.4480975}]"
منطقه ۱۳ شهر تهران,43,5,583,4743,6,187,84,754,125,100.0,"[{'lat': 35.6895984, 'lon': 51.4473525}, {'lat': 35.7262284, 'lon': 51.598903}]"
منطقه ۱۴ شهر تهران,19,1,1119,6138,9,127,49,936,90,100.0,"[{'lat': 35.6441634, 'lon': 51.4456059}, {'lat': 35.6929613, 'lon': 51.5232467}]"
منطقه ۱۵ شهر تهران,61,0,1656,5807,13,117,36,488,70,88.89,"[{'lat': 35.6057444, 'lon': 51.4309977}, {'lat': 35.6654069, 'lon': 51.5122269}]"
منطقه ۱۶ شهر تهران,32,0,965,3536,4,63,29,468,40,88.89,"[{'lat': 35.6144292, 'lon': 51.3820957}, {'lat': 35.6596229, 'lon': 51.4363541}]"
منطقه ۱۷ شهر تهران,31,1,393,2642,7,85,49,269,47,100.0,"[{'lat': 35.6366579, 'lon': 51.343868}, {'lat': 35.6708457, 'lon': 51.3822754}]"
منطقه ۱۸ شهر تهران,99,3,1114,4290,16,124,49,795,63,100.0,"[{'lat': 35.6200969, 'lon': 51.2304534}, {'lat': 35.683573, 'lon': 51.356563}]"
منطقه ۱۹ شهر تهران,37,2,935,3987,10,74,53,608,46,100.0,"[{'lat': 35.6074271, 'lon': 51.3248439}, {'lat': 35.6553849, 'lon': 51.4047147}]"
منطقه ۲۰ شهر تهران,50,0,1005,3366,8,54,31,402,39,88.89,"[{'lat': 35.5682071, 'lon': 51.4002501}, {'lat': 35.6295415, 'lon': 51.4721365}]"
منطقه ۲۱ شهر تهران,88,4,1333,4064,19,109,35,1900,51,100.0,"[{'lat': 35.6767414, 'lon': 51.0890493}, {'lat': 35.7456386, 'lon': 51.2914947}]"
منطقه ۲۲ شهر تهران,96,6,1670,3757,14,112,38,1488,70,100.0,"[{'lat': 35.7145052, 'lon': 51.0901497}, {'lat': 35.7714209, 'lon': 51.2911501}]"
percentage,100.0,81.82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.98000000000002
